symbol,id,current_price,previous_price,price_change_pct,weight_ratio,contribution
TRX,tron,0.3027631938457489,0.304394006729126,-0.5357572249536147,0.023333333333333324,-3.805230061213174e-05
OP,optimism,0.12198317795991898,0.12624500691890717,-3.3758396177408834,0.023333333333333324,-9.944267570972438e-05
SOL,solana,89.50346374511719,90.06571960449219,-0.6242728774544237,0.023333333333333324,-0.013119303385416661
DOT,polkadot,1.5357322692871094,1.5756490230560303,-2.5333531252728414,0.023333333333333324,-0.0009313909212748206
BTC,bitcoin,70202.65625,71245.578125,-1.463840848017539,0.3,-312.8765625
ADA,cardano,0.2689119577407837,0.2741909921169281,-1.9253128395600894,0.023333333333333324,-0.00012317746877670284
SHIB,shiba-inu,5.744264854001813e-06,6.000000212225132e-06,-4.262255819629013,0.023333333333333324,-5.967158358544109e-09
LINK,chainlink,9.108936309814453,9.225830078125,-1.2670271110640674,0.023333333333333324,-0.002727521260579426
AVAX,avalanche-2,9.53639030456543,9.675531387329102,-1.4380717419395506,0.023333333333333324,-0.003246625264485676
ETH,ethereum,2167.650146484375,2203.671630859375,-1.6346121568462824,0.2,-7.204296875000001
USDT,tether,0.9998469352722168,0.9999390244483948,-0.009209479170868562,0.05,-4.604458808898926e-06
LTC,litecoin,55.24966049194336,56.05348205566406,-1.4340261019332723,0.023333333333333324,-0.018755836486816398
XRP,ripple,1.4620635509490967,1.4638539552688599,-0.12230757811043658,0.05,-8.952021598815919e-05
DOGE,dogecoin,0.09449885040521622,0.09518299996852875,-0.7187728518104453,0.023333333333333324,-1.5963489810625706e-05
BNB,binancecoin,645.9302978515625,652.05908203125,-0.9399124018939387,0.05,-0.30643920898437504
ICP,internet-computer,2.5300514698028564,2.565579891204834,-1.3848105655869025,0.023333333333333324,-0.0008289964993794756
ARB,arbitrum,0.0008992253569886088,0.0008989999769255519,0.02507008552188328,0.023333333333333324,5.2588681379954e-09
TON,toncoin,0.004719885531812906,0.004978999961167574,-5.204146040882984,0.023333333333333324,-6.046003351608909e-06
ATOM,cosmos-hub,1.8770697116851807,1.9064630270004272,-1.54177211406471,0.023333333333333324,-0.0006858440240224199
NEAR,near,1.3532413244247437,1.3846410512924194,-2.267716014801624,0.023333333333333324,-0.0007326602935791012
