date,index,ret,n_constituents,index_log,index_log10
2025-08-12,100.0,0.00968602,19,4.605170185988092,2.0
2025-08-13,105.331913,0.05331913,19,4.657116440650675,2.022559971755501
2025-08-14,109.714797,0.04161023,19,4.69788424423775,2.0402652038926834
2025-08-15,103.750463,-0.05436217,19,4.6419886217514525,2.015990043484337
2025-08-18,103.496505,-0.00244778,19,4.639537844019326,2.014925684238903
2025-08-20,105.244114,0.01688568,19,4.656282547008187,2.0221978163480747
2025-08-21,103.955095,-0.0122479,19,4.643959027051891,2.0168457796334307
2025-09-02,105.380411,0.01371088,19,4.657576764944344,2.022759888056128
2025-09-03,107.622313,0.02127437,19,4.678627996117997,2.031902321592115
2025-09-04,108.943804,0.01227897,19,4.690832189649552,2.0372025354989485
2025-09-05,111.830783,0.02649971,19,4.7169868627145926,2.048561365687079
2025-09-08,113.654651,0.01630918,19,4.733164473350326,2.0555872127165578
2025-09-10,113.768004,0.00099734,19,4.734161322229666,2.0560201386841466
2025-09-12,115.365162,0.01403873,19,4.748102419414861,2.0620746802633536
2025-09-13,117.460709,0.01816447,19,4.766103886173551,2.0698926179428176
2025-09-14,118.125064,0.00565598,19,4.771743927612702,2.072342056817546
2025-09-15,116.477257,-0.01394969,19,4.757696035063948,2.066241134601253
2025-09-21,116.853957,0.00323411,19,4.76092492433961,2.0676434233963494
2025-09-24,116.187156,-0.00570628,19,4.755202304745704,2.0651581212846843
2025-09-29,118.731088,0.02189512,19,4.776861171284329,2.0745644475066887
2025-10-03,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-05,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-07,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-08,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-09,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-10,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-11,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-12,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-14,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-15,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-16,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-17,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-19,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-20,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-21,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-22,118.731088,0.0,0,4.776861171284329,2.0745644475066887
2025-10-23,118.731088,0.0,0,4.776861171284329,2.0745644475066887
