symbol,id,current_price,previous_price,price_change_pct,weight_ratio,contribution
SHIB,shiba-inu,6.3048496485862415e-06,7.000000096013537e-06,-9.930720541320849,0.023333333333333324,-1.622017710663688e-08
LTC,litecoin,53.50959777832031,53.8973274230957,-0.7193856603161408,0.023333333333333324,-0.009047025044759112
NEAR,near,1.011069655418396,1.0436300039291382,-3.11991303317809,0.023333333333333324,-0.0007597414652506507
ICP,internet-computer,2.2487378120422363,2.3813109397888184,-5.567232969514646,0.023333333333333324,-0.0030933729807535795
USDT,tether,0.9994680881500244,0.9995139837265015,-0.004591789332042406,0.05,-2.294778823852539e-06
ETH,ethereum,1964.904541015625,1992.1943359375,-1.3698359858569154,0.2,-5.457958984375001
AVAX,avalanche-2,8.86927604675293,9.138813018798828,-2.9493652128723125,0.023333333333333324,-0.006289196014404294
LINK,chainlink,8.644582748413086,8.830567359924316,-2.1061456634743903,0.023333333333333324,-0.004339640935262043
ARB,arbitrum,0.0008992253569886088,0.0008989999769255519,0.02507008552188328,0.023333333333333324,5.2588681379954e-09
ADA,cardano,0.2744457423686981,0.28096699714660645,-2.3210038346623274,0.023333333333333324,-0.00015216261148452752
TRX,tron,0.27939528226852417,0.28199800848960876,-0.9229590786916875,0.023333333333333324,-6.073027849197385e-05
XRP,ripple,1.421650767326355,1.474403977394104,-3.5779346011387103,0.05,-0.0026376605033874515
ATOM,cosmos-hub,2.3349156379699707,2.2384259700775146,4.310603485766151,0.023333333333333324,0.002251425584157307
BNB,binancecoin,604.8299560546875,617.5620727539062,-2.0616740018444157,0.05,-0.6366058349609376
SOL,solana,81.75524139404297,85.1976089477539,-4.0404508955432235,0.023333333333333324,-0.08032190958658851
OP,optimism,0.1641923189163208,0.18688499927520752,-12.142590602185999,0.023333333333333324,-0.0005294958750406899
BTC,bitcoin,66713.359375,67494.21875,-1.1569277924266652,0.3,-234.2578125
TON,toncoin,0.004468484316021204,0.004468000028282404,0.010839027209819108,0.023333333333333324,1.1300047238667802e-08
DOT,polkadot,1.313591718673706,1.3464939594268799,-2.443549079654117,0.023333333333333324,-0.000767718950907389
DOGE,dogecoin,0.09839082509279251,0.1006309986114502,-2.226126690153696,0.023333333333333324,-5.227071543534595e-05
