symbol,current_price,previous_price,price_change_pct,weight_ratio,contribution
arbitrum,0.0011746755335479975,0.0011749999830499291,-0.027612723966985442,0.047619047619047616,-1.5449976282460347e-08
ripple,2.890864372253418,2.852924108505249,1.3298728709628005,0.047619047619047616,0.001806679226103283
cosmos-hub,4.3701605796813965,4.286515235900879,1.9513600017086574,0.047619047619047616,0.003983111608596075
solana,180.79212951660156,176.11227416992188,2.6573135624631927,0.047619047619047616,0.22285025460379462
toncoin,3.2378551959991455,3.2187259197235107,0.5943120586445527,0.047619047619047616,0.0009109179178873698
avalanche-2,22.83184051513672,22.331470489501953,2.2406496959973543,0.047619047619047616,0.02382714407784598
chainlink,25.044200897216797,23.518341064453125,6.487956903856351,0.047619047619047616,0.07265999203636532
optimism,0.704789400100708,0.6862689852714539,2.6987107426876378,0.047619047619047616,0.000881924515678769
binancecoin,830.9321899414062,823.56591796875,0.8944362329641464,0.047619047619047616,0.3507748558407738
cardano,0.8558094501495361,0.8450390100479126,1.2745494555349346,0.047619047619047616,0.0005128781000773112
ethereum,4189.3203125,4073.464111328125,2.8441689433247763,0.047619047619047616,5.516961960565476
dogecoin,0.21398937702178955,0.20904800295829773,2.3637509058039408,0.047619047619047616,0.00023530352683294385
filecoin,2.393561363220215,2.356029987335205,1.5929922830676624,0.047619047619047616,0.0017872083754766554
near,2.460864305496216,2.4199960231781006,1.6887747718049573,0.047619047619047616,0.0019461086818150111
litecoin,114.60926055908203,112.48564147949219,1.8879023594998268,0.047619047619047616,0.10112471807570685
bitcoin,113714.1796875,112831.1796875,0.7825850996555861,0.047619047619047616,42.047619047619044
polkadot,3.783271312713623,3.715419054031372,1.8262343411473037,0.047619047619047616,0.0032310599372500463
internet-computer,5.123659133911133,5.023299217224121,1.9978884861744373,0.047619047619047616,0.004779043651762463
polygon,,,,0.047619047619047616,
aptos,,,,0.047619047619047616,
sui,,,,0.047619047619047616,
