date,BTC,ETH,BNB,XRP,USDT,SOL,TON,ADA,DOGE,DOT,LINK,AVAX,NEAR,ICP,ATOM,LTC,OP,ARB,MATIC,SUI
2024-01-23,39845.55078125,2240.68603515625,298.4039001464844,0.5177369713783264,0.9992470145225525,84.27450561523438,1.9715039730072021,0.4767490029335022,0.07815399765968323,6.35443115234375,14.274681091308594,30.59178352355957,2.649487018585205,10.471803665161133,9.217303276062012,65.44943237304688,2.8169710636138916,0.0003980000037699938,0.724141001701355,0.0003530000103637576
2024-01-24,40077.07421875,2233.561767578125,293.0914306640625,0.5179880261421204,0.999737024307251,88.73200988769531,2.065390110015869,0.47629600763320923,0.07901600003242493,6.459842205047607,14.23513412475586,31.217866897583008,2.6818900108337402,11.549351692199707,9.344944953918457,66.14016723632812,2.8561270236968994,0.00040099999750964344,0.7383360266685486,0.0003530000103637576
2024-01-25,39933.80859375,2217.710205078125,291.9192810058594,0.5136060118675232,0.9997169971466064,86.88921356201172,2.025283098220825,0.46647900342941284,0.07793299853801727,6.434463024139404,13.757712364196777,30.48063850402832,2.6978509426116943,11.153820991516113,9.224383354187012,65.49899291992188,2.93574595451355,0.00039900001138448715,0.73225998878479,0.0003530000103637576
2024-01-26,41816.87109375,2267.19970703125,302.3179931640625,0.5321890115737915,0.9999859929084778,92.44236755371094,2.0791499614715576,0.48529401421546936,0.07990100234746933,6.672458171844482,14.195534706115723,32.27981948852539,2.9223029613494873,12.147083282470703,9.633867263793945,67.03406524658203,3.0698699951171875,0.0004189999890513718,0.7590199708938599,0.0012679999927058816
2024-01-27,42120.0546875,2267.885986328125,305.8248291015625,0.5302600264549255,1.000046968460083,94.16321563720703,2.0836830139160156,0.48632100224494934,0.08014199882745743,6.6702470779418945,14.34029769897461,33.261962890625,2.9093520641326904,12.728463172912598,9.673402786254883,68.08456420898438,3.0690040588378906,0.00042100000428035855,0.7880309820175171,0.0002680000034160912
2024-01-28,42035.59375,2257.208740234375,304.9756164550781,0.5240939855575562,1.0000009536743164,95.93798065185547,2.0682051181793213,0.4897190034389496,0.07881300151348114,6.839127063751221,14.517561912536621,34.79377365112305,2.880887985229492,12.327214241027832,9.423107147216797,68.39750671386719,3.0261130332946777,0.0004199999966658652,0.7892820239067078,0.0002730000123847276
2024-01-29,43288.24609375,2317.064208984375,310.7080078125,0.5350900292396545,1.0001250505447388,101.56666564941406,2.092813014984131,0.5252749919891357,0.08128900080919266,7.030881881713867,14.988256454467773,36.073768615722656,3.007158041000366,12.546724319458008,9.661089897155762,68.45301055908203,3.164850950241089,0.0004330000083427876,0.8131729960441589,8.499999967170879e-05
2024-01-30,42952.609375,2344.49365234375,307.4627380371094,0.5106980204582214,1.0000280141830444,101.47297668457031,2.0511980056762695,0.5141649842262268,0.07972300052642822,6.8419671058654785,15.467368125915527,35.144779205322266,3.0091350078582764,11.736458778381348,9.412412643432617,67.51202392578125,3.15706205368042,0.0004290000069886446,0.7998849749565125,0.0002800000074785203
2024-01-31,42582.60546875,2282.54443359375,300.35107421875,0.5031930208206177,1.0000280141830444,97.0287094116211,2.0152649879455566,0.49825599789619446,0.07876399904489517,6.655735969543457,15.39860725402832,33.16189956665039,2.822042942047119,11.468999862670898,9.100728988647461,66.75304412841797,2.9013760089874268,0.00042600001324899495,0.7864369750022888,0.00018000000272877514
2024-02-01,43075.7734375,2303.82470703125,300.1759033203125,0.5058590173721313,0.9999330043792725,97.84669494628906,2.033950090408325,0.5070229768753052,0.07932700216770172,6.791077136993408,17.184246063232422,33.82854080200195,2.853393077850342,11.671607971191406,9.135396003723145,67.51658630371094,2.975126028060913,0.0004309999931138009,0.8110769987106323,0.00012099999730708078
2024-02-02,43185.859375,2308.0380859375,301.15496826171875,0.5104119777679443,0.9997140169143677,100.44052124023438,2.0166220664978027,0.5139579772949219,0.07923299819231033,6.936224937438965,17.791160583496094,36.707916259765625,2.8985190391540527,12.711692810058594,9.161083221435547,68.0035171508789,3.008023977279663,0.00043200000072829425,0.7983400225639343,9.40000027185306e-05
2024-02-03,42992.25,2296.038330078125,299.7367248535156,0.5189390182495117,0.999809980392456,97.8799819946289,2.0175371170043945,0.5128610134124756,0.07865100353956223,6.8314900398254395,17.661924362182617,35.91640090942383,2.814734935760498,12.740189552307129,9.050518989562988,68.83683776855469,2.957242012023926,0.0004299999854993075,0.7844619750976562,2.5999999706982635e-05
2024-02-04,42583.58203125,2289.546142578125,304.7341613769531,0.5032879710197449,0.9997199773788452,95.47695922851562,2.006870985031128,0.49425598978996277,0.07823800295591354,6.6672282218933105,18.17605972290039,34.844993591308594,2.753314971923828,12.730938911437988,8.962185859680176,66.93138885498047,2.9920589923858643,0.00042600001324899495,0.7739139795303345,3.7999998312443495e-05
2024-02-05,42658.66796875,2298.888916015625,300.8540344238281,0.5062440037727356,0.9987949728965759,95.54866027832031,1.991866946220398,0.49333998560905457,0.07822000235319138,6.726913928985596,19.131561279296875,34.50077438354492,2.7462809085845947,12.241535186767578,9.045736312866211,67.61941528320312,3.092039108276367,0.00042699999175965786,0.7793200016021729,3.7999998312443495e-05
2024-02-06,43084.671875,2372.201904296875,302.71014404296875,0.5051530003547668,0.9999819993972778,96.86107635498047,2.002232074737549,0.4984630048274994,0.07846599817276001,6.805706977844238,18.29801368713379,34.1414680480957,2.733901023864746,12.136457443237305,9.123825073242188,68.29098510742188,3.3236958980560303,0.0004309999931138009,0.8057799935340881,1.8999999156221747e-05
