symbol,id,current_price,previous_price,price_change_pct,weight_ratio,contribution
CC,canton,0.09870182257342461,0.090395,-0.95389422,0.019999999999999987,0.00016613645146849198
HYPE,hyperliquid,74.35523667230514,58.650699,4.93206783,0.019999999999999987,0.3140907534461025
SUI,sui,0.7316152475475939,0.652657,1.5704582,0.019999999999999987,0.0015791649509518757
BCH,bitcoin-cash,220.57336531612745,203.652467,3.94933737,0.019999999999999987,0.3384179663225487
SHIB,shiba-inu,4.918140322114e-06,4e-06,4.95659285,0.019999999999999987,1.836280644228e-08
USDT,tether,0.9999020034428518,0.999271,0.00940624,0.05,3.155017214259148e-05
DOGE,dogecoin,0.08024661290921889,0.07018,6.26515633,0.019999999999999987,0.00020133225818437753
HBAR,hedera-hashgraph,0.0728947804911203,0.066433,2.61643812,0.019999999999999987,0.00012923560982240588
BTC,bitcoin,72644.34296867457,64577.2009,4.64403485,0.32,2581.48546197586
SOL,solana,87.71739203611473,76.92159,1.63767885,0.05,0.5397901018057368
AVAX,avalanche-2,7.211869401331789,6.313456,5.86099802,0.019999999999999987,0.017968268026635766
BNB,binancecoin,653.4067063633827,602.545101,3.95113192,0.05,2.543080268169132
XRP,ripple,1.2525270052287456,1.000501,13.13600263,0.05,0.012601300261437277
ETH,ethereum,2319.323107424304,1912.696583,1.90835955,0.2,81.32530488486083
XLM,stellar,0.18023123116804646,0.153799,5.99015567,0.019999999999999987,0.0005286446233609289
LINK,chainlink,10.607978305047737,9.493845,-2.05174042,0.019999999999999987,0.022282666100954727
ZEC,zcash,577.5175899954459,508.186725,0.37708948,0.019999999999999987,1.3866172999089157
LTC,litecoin,48.128231703991965,44.570943,2.40955613,0.019999999999999987,0.07114577407983926
TRX,tron,0.33995697543468945,0.332885,1.94972961,0.019999999999999987,0.0001414395086937891
ADA,cardano,0.19796099995751693,0.173033,4.99717035,0.019999999999999987,0.0004985599991503383
