symbol,id,current_price,previous_price,price_change_pct,weight_ratio,contribution
TON,toncoin,0.010510795749723911,0.010817999951541424,-2.839750445494682,0.023333333333333324,-7.168098042408623e-06
USDT,tether,0.9996974468231201,0.9996899962425232,0.0007452891021220154,0.05,3.725290298461914e-07
AVAX,avalanche-2,17.14704132080078,18.167652130126953,-5.6177364142376955,0.023333333333333324,-0.023814252217610667
ARB,arbitrum,0.0011746755335479975,0.0011749999830499291,-0.027612723966985442,0.023333333333333324,-7.570488378405568e-09
DOGE,dogecoin,0.17304778099060059,0.18181400001049042,-4.821531355882403,0.023333333333333324,-0.00020454511046409597
LTC,litecoin,100.47828674316406,104.2005844116211,-3.5722426025490694,0.023333333333333324,-0.08685361226399736
BTC,bitcoin,103108.7578125,105996.59375,-2.7244610749578957,0.3,-866.35078125
NEAR,near,2.5774998664855957,2.786461114883423,-7.499162550006355,0.023333333333333324,-0.004875762462615965
ICP,internet-computer,6.132999897003174,6.805726051330566,-9.8847081009949,0.023333333333333324,-0.01569694360097249
BNB,binancecoin,963.6981811523438,991.919677734375,-2.845139300642918,0.05,-1.4110748291015627
ETH,ethereum,3431.7265625,3568.4599609375,-3.831720123926452,0.2,-27.3466796875
SOL,solana,156.47100830078125,167.36700439453125,-6.51024145002026,0.023333333333333324,-0.2542399088541666
LINK,chainlink,15.443931579589844,16.34421157836914,-5.508249782882024,0.023333333333333324,-0.021006533304850254
OP,optimism,0.41070500016212463,0.4432680010795593,-7.346120369196285,0.023333333333333324,-0.0007598033547401425
ATOM,cosmos-hub,2.976895332336426,3.1010820865631104,-4.004626474248518,0.023333333333333324,-0.002897690931955972
ADA,cardano,0.5601901412010193,0.5929700136184692,-5.528082645767862,0.023333333333333324,-0.0007648636897404985
XRP,ripple,2.399289846420288,2.526365041732788,-5.029961751898748,0.05,-0.0063537597656250005
DOT,polkadot,3.092580556869507,3.260983943939209,-5.164189396966911,0.023333333333333324,-0.003929412364959715
MATIC,polygon,,,,0.023333333333333324,
SUI,sui,,,,0.023333333333333324,
