symbol,id,current_price,previous_price,price_change_pct,weight_ratio,contribution
TON,toncoin,0.0065386537462472916,0.0066109998151659966,-1.0943287088397646,0.023333333333333324,-1.688074941436449e-06
BNB,binancecoin,863.2854614257812,886.1796264648438,-2.5834677705683817,0.05,-1.144708251953125
AVAX,avalanche-2,11.460258483886719,12.03725814819336,-4.79344762073779,0.023333333333333324,-0.013463325500488276
DOT,polkadot,1.8224948644638062,1.9266730546951294,-5.407154575471451,0.023333333333333324,-0.002430824438730875
OP,optimism,0.28527501225471497,0.30340999364852905,-5.977054735653075,0.023333333333333324,-0.00042314956585566186
BTC,bitcoin,86447.7734375,89110.734375,-2.9883727882811573,0.3,-798.88828125
DOGE,dogecoin,0.11927478015422821,0.12409599870443344,-3.8850717191036943,0.023333333333333324,-0.00011249509950478867
LTC,litecoin,67.1312484741211,68.11567687988281,-1.4452303065235483,0.023333333333333324,-0.022969996134440094
XRP,ripple,1.8328015804290771,1.9131300449371338,-4.198797918658803,0.05,-0.0040164232254028326
LINK,chainlink,11.477472305297852,12.193202018737793,-5.869907775989036,0.023333333333333324,-0.016700359980265294
NEAR,near,1.4296306371688843,1.5038959980010986,-4.938197916007758,0.023333333333333324,-0.0017328584194183344
ETH,ethereum,2802.60693359375,2948.74072265625,-4.955803266787784,0.2,-29.2267578125
USDT,tether,0.9989074468612671,0.9984760284423828,0.043207689177804376,0.05,2.157092094421387e-05
ADA,cardano,0.33892759680747986,0.3581629991531372,-5.37057216718051,0.023333333333333324,-0.0004488260547320046
SOL,solana,119.03662872314453,127.05381774902344,-6.310073296432317,0.023333333333333324,-0.1870677439371744
ICP,internet-computer,3.2401230335235596,3.465488910675049,-6.503148126005398,0.023333333333333324,-0.005258537133534747
ARB,arbitrum,0.0008992253569886088,0.0008989999769255519,0.02507008552188328,0.023333333333333324,5.2588681379954e-09
ATOM,cosmos-hub,2.2351832389831543,2.3299379348754883,-4.06683347543323,0.023333333333333324,-0.002210942904154459
MATIC,polygon,,,,0.023333333333333324,
SUI,sui,,,,0.023333333333333324,
