symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,118541.0,123284.51984235855,-3.847619999999996,2359629441171.0,73225599672.0,0.4940768736072763,-2343.6634536065944
ETH,Ethereum,4561.93,4757.424464820642,-4.109249999999998,550312475257.0,66117063401.0,0.24703843680363816,-48.29464699305522
XRP,XRP,3.09,3.282962349734085,-5.877690000000002,183246935713.0,11654321994.0,0.08740853192904532,-0.016866555707835407
BNB,BNB,841.1,847.8942615068808,-0.8013099999999884,117031258910.0,3626534501.0,0.05582374674549821,-0.3792811336827969
SOL,Solana,192.69,201.69195570543616,-4.4632200000000015,103967979606.0,14569902183.0,0.049592580796125586,-0.4464302156449865
ADA,Cardano,0.928162,0.9128155622050956,1.6812199999999944,33712674784.0,6144665576.0,0.01608089869991607,0.00024678451158442115
DOGE,Dogecoin,0.22338,0.24576144570837233,-9.106979999999998,33614666468.0,5201295854.0,0.016034148870321018,-0.00035886743242104945
LINK,Chainlink,22.51,23.96570827611179,-6.07413,15243593103.0,1985146133.0,0.00727117258071795,-0.010584706102788234
SUI,Sui,3.75,4.0218246728969556,-6.758739999999996,13167727495.0,2016043305.0,0.0062809875903317635,-0.0017073273972117687
AVAX,Avalanche,23.64,25.554756579052622,-7.492759999999999,9980347018.0,1154784039.0,0.004760611562706297,-0.009115412310005865
LTC,Litecoin,121.85,130.8280065344214,-6.862450000000009,9281505891.0,1316510467.0,0.0044272653229722805,-0.039748016999262455
DOT,Polkadot,3.99,4.296120958093117,-7.125520000000007,6068684640.0,561265714.0,0.002894754081746509,-0.0008861448929482019
NEAR,NEAR Protocol,2.76,2.997049860485157,-7.909440000000001,3437571987.0,454726898.0,0.0016397170278180263,-0.00038869469267939976
APT,Aptos,4.74,5.071938058153943,-6.544600000000001,3241680877.0,649840981.0,0.0015462772424462896,-0.0005132682652252552
ICP,Internet Computer,5.48,6.025752394356906,-9.057000000000015,2940452686.0,103432385.0,0.001402591816829188,-0.0007654678423399317
ARB,Arbitrum,0.518746,0.5724695162460101,-9.384519999999997,2671656255.0,922475840.0,0.001274376295352339,-6.846397560689144e-05
ATOM,Cosmos Hub,4.52,4.857817485778524,-6.954099999999997,2093558526.0,167508601.0,0.0009986244875155854,-0.0003373528136093824
FIL,Filecoin,2.51,2.7373455839908685,-8.30533,1716717834.0,289194142.0,0.0008188720047213601,-0.000186166934127151
OP,Optimism,0.753315,0.8622788501391946,-12.636729999999996,1319778578.0,441095006.0,0.0006295325350218073,-6.85962888038635e-05
