rank,name,symbol
1,Bitcoin,BTC
2,Ethereum,ETH
3,Tether,USDT
4,BNB,BNB
5,USD Coin,USDC
6,XRP,XRP
7,Cardano,ADA
8,Dogecoin,DOGE
9,Polygon,MATIC
10,Solana,SOL
11,Polkadot,DOT
12,Litecoin,LTC
13,TRON,TRX
14,Shiba Inu,SHIB
15,Avalanche,AVAX
16,Dai,DAI
17,Uniswap,UNI
18,Wrapped Bitcoin,WBTC
19,Chainlink,LINK
20,Cosmos,ATOM
