symbol,weight_base
BTC,0.3
ETH,0.2
XRP,0.1
BCH,0.025
ADA,0.025
XEM,0.025
LTC,0.025
TRX,0.025
XLM,0.025
MIOTA,0.025
DASH,0.025
EOS,0.025
NEO,0.025
QTUM,0.025
BTG,0.025
ETC,0.025
LSK,0.025
ICX,0.025
NANO,0.025
