rank,name,symbol
1,Bitcoin,BTC
2,Ethereum,ETH
3,Tether,USDT
4,BNB,BNB
5,XRP,XRP
6,USD Coin,USDC
7,Solana,SOL
8,Cardano,ADA
9,Dogecoin,DOGE
10,TRON,TRX
11,Toncoin,TON
12,Polygon,MATIC
13,Polkadot,DOT
14,Litecoin,LTC
15,Shiba Inu,SHIB
16,Avalanche,AVAX
17,Dai,DAI
18,Chainlink,LINK
19,Uniswap,UNI
20,Wrapped Bitcoin,WBTC
