quarter,date,symbol,action,weight,cmc_rank,reason
2020Q1,2020-01-06,XEM,REMOVE,,,순위 이탈/편출
2020Q1,2020-01-06,NEO,ADD,0.02,,신규 편입
2020Q1,2020-01-06,USDT,HOLD,0.05,,비중 조정
2020Q1,2020-01-06,BNB,HOLD,0.05,,비중 조정
2020Q1,2020-01-06,BCH,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,LTC,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,EOS,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,XMR,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,XLM,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,TRX,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,ADA,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,XTZ,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,ATOM,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,LINK,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,ETC,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,MIOTA,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,DASH,HOLD,0.02,,비중 조정
2020Q1,2020-01-06,MKR,HOLD,0.02,,비중 조정
2020Q2,2020-04-06,MKR,REMOVE,,,순위 이탈/편출
2020Q2,2020-04-06,XEM,ADD,0.02,,신규 편입
2020Q3,2020-07-06,XEM,REMOVE,,,순위 이탈/편출
2020Q3,2020-07-06,VET,ADD,0.02,,신규 편입
2020Q4,2020-10-05,VET,REMOVE,,,순위 이탈/편출
2020Q4,2020-10-05,ETC,REMOVE,,,순위 이탈/편출
2020Q4,2020-10-05,MIOTA,REMOVE,,,순위 이탈/편출
2020Q4,2020-10-05,DASH,REMOVE,,,순위 이탈/편출
2020Q4,2020-10-05,DOT,ADD,0.02,,신규 편입
2020Q4,2020-10-05,XEM,ADD,0.02,,신규 편입
2020Q4,2020-10-05,UNI,ADD,0.02,,신규 편입
2020Q4,2020-10-05,THETA,ADD,0.02,,신규 편입
2021Q1,2021-01-04,NEO,REMOVE,,,순위 이탈/편출
2021Q1,2021-01-04,ATOM,REMOVE,,,순위 이탈/편출
2021Q1,2021-01-04,USDC,ADD,0.0233,,신규 편입
2021Q1,2021-01-04,VET,ADD,0.0233,,신규 편입
2021Q1,2021-01-04,XRP,HOLD,0.05,,비중 조정
2021Q1,2021-01-04,LTC,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,DOT,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,BCH,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,ADA,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,LINK,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,XLM,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,EOS,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,THETA,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,TRX,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,XEM,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,XMR,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,XTZ,HOLD,0.0233,,비중 조정
2021Q1,2021-01-04,UNI,HOLD,0.0233,,비중 조정
2021Q2,2021-04-05,XEM,REMOVE,,,순위 이탈/편출
2021Q2,2021-04-05,XMR,REMOVE,,,순위 이탈/편출
2021Q2,2021-04-05,XTZ,REMOVE,,,순위 이탈/편출
2021Q2,2021-04-05,FIL,ADD,0.0233,,신규 편입
2021Q2,2021-04-05,DOGE,ADD,0.0233,,신규 편입
2021Q2,2021-04-05,SOL,ADD,0.0233,,신규 편입
2021Q3,2021-07-05,FIL,REMOVE,,,순위 이탈/편출
2021Q3,2021-07-05,TRX,REMOVE,,,순위 이탈/편출
2021Q3,2021-07-05,EOS,REMOVE,,,순위 이탈/편출
2021Q3,2021-07-05,MATIC,ADD,0.0233,,신규 편입
2021Q3,2021-07-05,ETC,ADD,0.0233,,신규 편입
2021Q3,2021-07-05,ICP,ADD,0.0233,,신규 편입
2021Q4,2021-10-04,ETC,REMOVE,,,순위 이탈/편출
2021Q4,2021-10-04,THETA,REMOVE,,,순위 이탈/편출
2021Q4,2021-10-04,VET,REMOVE,,,순위 이탈/편출
2021Q4,2021-10-04,AVAX,ADD,0.0233,,신규 편입
2021Q4,2021-10-04,ALGO,ADD,0.0233,,신규 편입
2021Q4,2021-10-04,ATOM,ADD,0.0233,,신규 편입
2022Q1,2022-01-03,USDC,REMOVE,,,순위 이탈/편출
2022Q1,2022-01-03,XLM,REMOVE,,,순위 이탈/편출
2022Q1,2022-01-03,ICP,REMOVE,,,순위 이탈/편출
2022Q1,2022-01-03,SHIB,ADD,0.02,,신규 편입
2022Q1,2022-01-03,NEAR,ADD,0.02,,신규 편입
2022Q1,2022-01-03,TRX,ADD,0.02,,신규 편입
2022Q1,2022-01-03,BTC,HOLD,0.32,,비중 조정
2022Q1,2022-01-03,SOL,HOLD,0.05,,비중 조정
2022Q1,2022-01-03,ADA,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,DOT,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,AVAX,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,DOGE,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,MATIC,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,UNI,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,ALGO,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,LTC,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,LINK,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,BCH,HOLD,0.02,,비중 조정
2022Q1,2022-01-03,ATOM,HOLD,0.02,,비중 조정
2022Q2,2022-04-04,LTC,REMOVE,,,순위 이탈/편출
2022Q2,2022-04-04,LINK,REMOVE,,,순위 이탈/편출
2022Q2,2022-04-04,ETC,ADD,0.02,,신규 편입
2022Q2,2022-04-04,XLM,ADD,0.02,,신규 편입
2022Q3,2022-07-04,ETC,REMOVE,,,순위 이탈/편출
2022Q3,2022-07-04,ALGO,REMOVE,,,순위 이탈/편출
2022Q3,2022-07-04,LTC,ADD,0.02,,신규 편입
2022Q3,2022-07-04,LINK,ADD,0.02,,신규 편입
2022Q4,2022-10-03,BCH,REMOVE,,,순위 이탈/편출
2022Q4,2022-10-03,ETC,ADD,0.02,,신규 편입
