symbol,weight_base
BTC,0.3
ETH,0.2
XRP,0.1
USDT,0.05
BNB,0.05
BCH,0.02
LTC,0.02
EOS,0.02
XMR,0.02
XLM,0.02
TRX,0.02
ADA,0.02
XTZ,0.02
ATOM,0.02
NEO,0.02
LINK,0.02
ETC,0.02
MIOTA,0.02
DASH,0.02
MKR,0.02
