date,index,ret
2018-06-22,53.893898,-0.10236908
2018-06-23,54.362713,0.00869884
2018-06-24,53.185883,-0.02164774
2018-06-25,53.990283,0.01512432
2018-06-26,51.470582,-0.04666954
2018-06-27,52.43763,0.01878837
2018-06-28,49.914623,-0.04811443
2018-06-29,52.067275,0.04312668
2018-06-30,53.807801,0.03342841
2018-07-01,53.648963,-0.00295195
2018-07-02,56.410392,0.05147218
2018-07-03,55.326503,-0.01921435
2018-07-04,55.905831,0.01047107
2018-07-05,55.981971,0.00136194
2018-07-06,55.751364,-0.00411931
2018-07-07,57.346561,0.0286127
2018-07-08,56.46059,-0.01544942
2018-07-09,55.288672,-0.02075639
2018-07-10,51.416834,-0.0700295
2018-07-11,52.065648,0.0126187
2018-07-12,50.394299,-0.03210079
2018-07-13,51.203413,0.01605566
2018-07-14,51.380045,0.00344962
2018-07-15,52.478051,0.02137028
2018-07-16,56.083936,0.06871226
2018-07-17,59.480377,0.06055995
2018-07-18,58.877102,-0.01014242
2018-07-19,58.452022,-0.00721979
2018-07-20,55.926997,-0.04319825
2018-07-21,56.934113,0.01800769
2018-07-22,56.549275,-0.00675937
2018-07-23,56.827293,0.0049164
2018-07-24,60.708554,0.06829922
2018-07-25,60.171994,-0.00883829
2018-07-26,58.882978,-0.02142218
2018-07-27,59.896069,0.01720516
2018-07-28,59.961949,0.00109991
2018-07-29,59.86214,-0.00166455
2018-07-30,58.620017,-0.02074972
2018-07-31,56.075612,-0.04340505
2018-08-01,55.060741,-0.01809826
2018-08-02,53.95451,-0.02009111
2018-08-03,53.839123,-0.00213859
2018-08-04,51.641283,-0.04082236
2018-08-05,52.346104,0.01364841
2018-08-06,51.513037,-0.0159146
2018-08-07,49.255658,-0.0438215
2018-08-08,45.127176,-0.08381742
2018-08-09,47.02744,0.04210908
2018-08-10,43.745853,-0.06978025
2018-08-11,42.862435,-0.02019434
2018-08-12,42.871591,0.00021361
2018-08-13,40.155134,-0.06336263
2018-08-14,39.186249,-0.02412855
2018-08-15,39.988603,0.0204754
2018-08-16,41.149547,0.02903188
2018-08-17,45.72763,0.11125477
2018-08-18,43.009974,-0.05943139
2018-08-19,43.964049,0.02218265
2018-08-20,41.345688,-0.05955687
2018-08-21,42.500902,0.02794038
2018-08-22,41.116773,-0.03256704
2018-08-23,42.197217,0.02627745
2018-08-24,43.131309,0.02213635
2018-08-25,43.263879,0.00307363
2018-08-26,42.923776,-0.00786113
2018-08-27,45.29355,0.05520889
2018-08-28,46.976505,0.03715663
2018-08-29,46.037544,-0.01998789
2018-08-30,45.329855,-0.01537199
2018-08-31,45.80796,0.01054723
2018-09-01,47.659162,0.04041224
2018-09-02,47.54322,-0.00243274
2018-09-03,47.525864,-0.00036505
2018-09-04,47.899632,0.00786452
2018-09-05,41.678065,-0.12988758
2018-09-06,41.465869,-0.00509131
2018-09-07,40.381267,-0.02615651
2018-09-08,38.240801,-0.05300642
2018-09-09,38.439974,0.00520841
2018-09-10,38.341524,-0.00256115
2018-09-11,37.340476,-0.02610872
2018-09-12,37.165275,-0.00469197
2018-09-13,39.530308,0.06363554
2018-09-14,39.437352,-0.0023515
2018-09-15,40.16147,0.01836122
2018-09-16,39.954711,-0.0051482
2018-09-17,37.512005,-0.06113686
2018-09-18,38.982136,0.03919093
2018-09-19,39.12109,0.00356456
2018-09-20,41.671652,0.06519661
2018-09-21,44.674442,0.07205833
2018-09-22,43.938506,-0.01647331
2018-09-23,44.608218,0.01524203
2018-09-24,42.657784,-0.04372366
2018-09-25,41.702695,-0.02238955
2018-09-26,41.685295,-0.00041724
2018-09-27,43.547556,0.04467428
2018-09-28,43.004688,-0.01246609
2018-09-29,43.392704,0.00902264
2018-09-30,43.517373,0.00287303
2018-10-01,43.273327,-0.00560799
2018-10-02,42.851892,-0.00973892
2018-10-03,42.164213,-0.01604781
2018-10-04,42.517822,0.00838647
2018-10-05,43.06634,0.01290089
2018-10-06,42.564108,-0.01166181
2018-10-07,42.873172,0.00726113
2018-10-08,43.385546,0.01195092
2018-10-09,43.147851,-0.00547865
2018-10-10,42.633751,-0.01191485
2018-10-11,38.041045,-0.10772465
2018-10-12,38.911838,0.02289086
2018-10-13,39.163972,0.00647962
2018-10-14,38.723436,-0.0112485
2018-10-15,40.946242,0.0574021
2018-10-16,41.06162,0.00281779
2018-10-17,40.797231,-0.00643883
2018-10-18,40.18871,-0.01491576
2018-10-19,40.214762,0.00064826
2018-10-20,40.478364,0.00655486
2018-10-21,40.471567,-0.00016792
2018-10-22,40.430164,-0.00102303
2018-10-23,40.490345,0.00148852
2018-10-24,40.422221,-0.00168247
2018-10-25,40.231389,-0.00472097
2018-10-26,40.197588,-0.00084016
2018-10-27,40.058455,-0.00346123
2018-10-28,40.301581,0.00606928
2018-10-29,38.855895,-0.03587169
2018-10-30,38.904711,0.00125633
2018-10-31,38.896349,-0.00021493
2018-11-01,39.296992,0.01030026
2018-11-02,39.700408,0.01026582
2018-11-03,39.612755,-0.00220785
2018-11-04,40.549275,0.02364188
2018-11-05,40.884462,0.00826617
2018-11-06,42.280516,0.03414631
2018-11-07,42.040846,-0.00566858
2018-11-08,41.184053,-0.02038002
2018-11-09,40.731681,-0.01098414
2018-11-10,40.989636,0.00633301
2018-11-11,40.863464,-0.00307815
2018-11-12,40.807462,-0.00137045
2018-11-13,40.241679,-0.0138647
2018-11-14,36.086164,-0.10326395
2018-11-15,35.695684,-0.01082076
2018-11-16,34.958586,-0.02064951
2018-11-17,34.836341,-0.00349684
2018-11-18,35.33233,0.01423767
2018-11-19,30.44996,-0.1381842
2018-11-20,27.195001,-0.10689535
2018-11-21,28.383801,0.04371394
2018-11-22,26.680509,-0.0600093
2018-11-23,26.205571,-0.01780095
2018-11-24,23.736563,-0.09421692
2018-11-25,24.259118,0.0220148
2018-11-26,22.908251,-0.05568494
2018-11-27,23.290457,0.01668423
2018-11-28,25.782787,0.10701076
2018-11-29,25.524057,-0.01003498
2018-11-30,24.140363,-0.05421137
2018-12-01,25.174683,0.04284608
2018-12-02,24.796408,-0.01502602
2018-12-03,23.235842,-0.06293515
2018-12-04,23.628162,0.01688424
2018-12-05,22.255795,-0.05808182
2018-12-06,20.220777,-0.09143767
2018-12-07,19.99977,-0.01092971
2018-12-08,20.181531,0.00908818
2018-12-09,20.957013,0.0384253
2018-12-10,20.167875,-0.03765505
2018-12-11,19.70926,-0.02273989
2018-12-12,20.138877,0.02179772
2018-12-13,19.141609,-0.04951955
2018-12-14,18.604897,-0.028039
2018-12-15,18.60212,-0.0001493
2018-12-16,18.84,0.01278781
2018-12-17,20.846056,0.10647856
2018-12-18,21.93143,0.05206615
2018-12-19,22.179837,0.01132649
2018-12-20,24.846724,0.12023928
2018-12-21,23.751491,-0.04407958
2018-12-22,24.57072,0.03449171
2018-12-23,25.507996,0.03814603
2018-12-24,26.410437,0.03537875
2018-12-25,24.544966,-0.07063384
2018-12-26,24.920409,0.0152961
2018-12-27,22.839275,-0.08351121
2018-12-28,25.394596,0.11188277
2018-12-29,24.910653,-0.01905694
2018-12-30,25.1762,0.01065999
2018-12-31,24.202532,-0.03867418
2019-01-01,25.058639,0.03537263
2019-01-02,26.244913,0.04733993
2019-01-03,25.313449,-0.03549124
2019-01-04,25.681383,0.01453512
2019-01-05,25.768145,0.00337843
2019-01-06,27.028606,0.04891546
2019-01-07,26.386349,-0.02376212
2019-01-08,26.647735,0.0099061
2019-01-09,26.965791,0.01193559
2019-01-10,23.948308,-0.11190041
2019-01-11,23.933554,-0.00061609
2019-01-12,23.716842,-0.00905472
2019-01-13,22.555411,-0.04897075
2019-01-14,24.111932,0.06900877
2019-01-15,23.322049,-0.03275902
2019-01-16,23.657269,0.01437352
2019-01-17,23.908306,0.01061144
2019-01-18,23.600129,-0.01288997
2019-01-19,24.086931,0.02062708
2019-01-20,23.236342,-0.03531328
2019-01-21,23.102866,-0.00574427
2019-01-22,23.446501,0.01487411
2019-01-23,23.298647,-0.00630598
2019-01-24,23.404337,0.0045363
2019-01-25,23.407164,0.0001208
2019-01-26,23.426778,0.00083795
2019-01-27,23.096922,-0.01408033
2019-01-28,21.891596,-0.05218556
2019-01-29,21.732742,-0.0072564
2019-01-30,22.200362,0.02151687
2019-01-31,21.855837,-0.01551888
2019-02-01,22.054088,0.00907081
2019-02-02,22.425687,0.01684947
2019-02-03,21.964116,-0.02058228
2019-02-04,22.096042,0.00600645
2019-02-05,22.146332,0.00227598
2019-02-06,21.752908,-0.01776476
2019-02-07,21.719667,-0.0015281
2019-02-08,23.880329,0.0994795
2019-02-09,23.987951,0.00450672
2019-02-10,24.432155,0.0185178
2019-02-11,24.11403,-0.01302073
2019-02-12,24.288108,0.00721894
2019-02-13,24.158836,-0.00532245
2019-02-14,23.871078,-0.01191107
2019-02-15,24.132857,0.01096634
2019-02-16,24.17753,0.00185115
2019-02-17,24.850022,0.02781475
2019-02-18,26.665624,0.07306238
2019-02-19,27.031846,0.01373386
2019-02-20,27.691888,0.0244172
2019-02-21,27.068197,-0.02252251
2019-02-22,27.649085,0.02146015
2019-02-23,28.941425,0.04674078
2019-02-24,26.163851,-0.09597224
2019-02-25,26.778429,0.02348958
2019-02-26,26.44933,-0.01228972
2019-02-27,26.314355,-0.00510314
2019-02-28,26.429664,0.00438196
2019-03-01,26.616156,0.00705618
2019-03-02,26.527061,-0.00334741
2019-03-03,26.302531,-0.00846421
2019-03-04,25.533139,-0.02925164
2019-03-05,27.153365,0.06345583
2019-03-06,27.258809,0.00388327
2019-03-07,27.450034,0.00701517
2019-03-08,27.011934,-0.01595993
2019-03-09,27.580811,0.02106024
2019-03-10,27.498501,-0.00298434
2019-03-11,27.13281,-0.01329856
2019-03-12,27.582363,0.01656861
2019-03-13,27.49573,-0.00314088
2019-03-14,27.643363,0.00536931
2019-03-15,28.144958,0.01814523
2019-03-16,28.952575,0.02869488
2019-03-17,28.675986,-0.00955317
2019-03-18,28.68791,0.00041581
2019-03-19,28.999394,0.0108577
2019-03-20,29.206932,0.00715664
2019-03-21,28.582936,-0.02136466
2019-03-22,28.808287,0.00788409
2019-03-23,29.10898,0.01043774
2019-03-24,29.059145,-0.001712
2019-03-25,28.546424,-0.01764406
2019-03-26,28.606617,0.00210862
2019-03-27,29.698878,0.03818211
2019-03-28,29.467227,-0.00780002
2019-03-29,29.749887,0.00959236
2019-03-30,29.773446,0.00079191
2019-03-31,29.93244,0.00534013
2019-04-01,30.365171,0.01445692
2019-04-02,35.073227,0.15504791
2019-04-03,35.346812,0.00780039
2019-04-04,34.889378,-0.0129413
2019-04-05,36.334188,0.04141115
2019-04-06,36.306458,-0.00076317
2019-04-07,37.546663,0.03415933
2019-04-08,37.792391,0.0065446
2019-04-09,37.018354,-0.02048129
2019-04-10,37.538468,0.01405017
2019-04-11,35.2294,-0.06151203
2019-04-12,35.357454,0.00363486
2019-04-13,35.336299,-0.00059833
2019-04-14,35.962689,0.01772653
2019-04-15,35.13474,-0.02302243
2019-04-16,36.147456,0.02882378
2019-04-17,36.082074,-0.00180876
2019-04-18,36.89421,0.02250803
2019-04-19,36.902239,0.00021763
2019-04-20,36.893654,-0.00023265
2019-04-21,36.202708,-0.01872805
2019-04-22,36.587979,0.01064205
2019-04-23,36.600496,0.00034212
2019-04-24,35.487286,-0.03041518
2019-04-25,33.716104,-0.04991032
2019-04-26,34.126596,0.01217494
2019-04-27,34.221935,0.00279368
2019-04-28,34.138808,-0.00242905
2019-04-29,33.562027,-0.01689518
2019-04-30,34.815866,0.03735887
2019-05-01,34.890188,0.00213473
2019-05-02,35.257216,0.0105195
2019-05-03,36.474262,0.03451908
2019-05-04,36.053557,-0.01153431
2019-05-05,35.752259,-0.00835696
2019-05-06,36.052004,0.00838395
