date,index,ret,n_constituents,index_log,index_log10
2025-08-12,100.0,0.00973137,19,4.605170185988092,2.0
2025-08-13,105.33464,0.0533464,19,4.6571423299051515,2.022571215315861
2025-08-14,109.715186,0.04158694,19,4.697887789787859,2.040266743705531
2025-08-15,103.754543,-0.05432833,19,4.64202794610395,2.0160071218336313
2025-08-18,103.500972,-0.00244395,19,4.639581003965674,2.014944428365441
2025-08-20,105.249882,0.01689752,19,4.65633735142172,2.0222216176024554
2025-08-21,103.960113,-0.01225435,19,4.644007296729221,2.016866742887938
2025-09-02,105.385132,0.01370736,19,4.657621563538399,2.0227793438383226
2025-09-03,107.62357,0.02124055,19,4.678639675783898,2.031907394006566
2025-09-04,108.948299,0.01230892,19,4.690873448602389,2.037220454034495
2025-09-05,111.835398,0.02649971,19,4.717028129570226,2.048579287654766
2025-09-08,113.659341,0.01630918,19,4.73320573785815,2.0556051336646037
2025-09-10,113.772698,0.00099734,19,4.734202580782175,2.056038057045832
2025-09-12,115.369922,0.01403873,19,4.748143678853332,2.0620925990098082
2025-09-13,117.465555,0.01816447,19,4.766145141671495,2.0699105349779225
2025-09-14,118.129938,0.00565598,19,4.771785188114782,2.07235997602592
2025-09-15,116.482063,-0.01394969,19,4.7577372954865895,2.066259053775127
2025-09-21,116.858779,0.00323411,19,4.760966188671912,2.067661344268167
2025-09-24,116.19195,-0.00570628,19,4.755243564909607,2.06517604034619
2025-09-29,118.735987,0.02189512,19,4.7769024317411795,2.0745823666954193
2025-10-03,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-05,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-07,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-08,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-09,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-10,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-11,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-12,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-14,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-15,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-16,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-17,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-19,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-20,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-21,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-22,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-23,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-26,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-27,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-28,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-29,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-10-30,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-02,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-03,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-04,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-05,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-06,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-07,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-08,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-10,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-11,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-12,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-13,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-16,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-17,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-20,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-21,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-22,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-23,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-24,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-25,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-27,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-29,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-11-30,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-12-01,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-12-02,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-12-03,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-12-04,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-12-05,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-12-07,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-12-08,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-12-09,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
2025-12-10,118.735987,0.0,0,4.7769024317411795,2.0745823666954193
