symbol,id,current_price,previous_price,price_change_pct,weight_ratio,contribution
CC,canton,0.10912418846084845,0.1136,-3.95222354,0.019999999999999987,-8.951623078303099e-05
HYPE,hyperliquid,81.40512178678689,82.316082,-1.31229909,0.019999999999999987,-0.01821920426426202
SUI,sui,0.7389299802325583,0.717675,2.91400578,0.019999999999999987,0.0004250996046511665
BCH,bitcoin-cash,242.62154499283128,244.639093,-0.83237802,0.019999999999999987,-0.040350960143374526
SHIB,shiba-inu,5.144433954047e-06,5e-06,0.33395462,0.019999999999999987,2.8886790809399837e-09
USDT,tether,0.9996280306035727,0.999534,0.01244977,0.05,4.701530178635727e-06
DOGE,dogecoin,0.08105607575758199,0.081391,-0.45237865,0.019999999999999987,-6.6984848483603265e-06
HBAR,hedera-hashgraph,0.07407701418444711,0.073841,0.32729657,0.019999999999999987,4.720283688942059e-06
BTC,bitcoin,77037.71904863312,77287.810729,-0.28496082,0.32,-80.0293377174018
SOL,solana,99.62478951574865,99.666221,-0.14919829,0.05,-0.0020715742125673843
AVAX,avalanche-2,7.153663189966104,7.184692,-0.43187324,0.019999999999999987,-0.0006205762006779199
BNB,binancecoin,686.1537927726343,679.947085,0.82716786,0.05,0.3103353886317166
XRP,ripple,1.346189219337079,1.34471,0.06471593,0.05,7.39609668539476e-05
ETH,ethereum,2380.3870903086054,2412.190676,-1.39257466,0.2,-6.360717138278961
XLM,stellar,0.17426053454251075,0.174905,-0.41062613,0.019999999999999987,-1.2889309149785024e-05
LINK,chainlink,11.059079234677005,11.175273,-1.06404585,0.019999999999999987,-0.002323875306459902
ZEC,zcash,811.0701549892699,827.212422,-1.97783645,0.019999999999999987,-0.3228453402146008
LTC,litecoin,49.57045608292387,49.593596,-0.09946859,0.019999999999999987,-0.0004627983415225853
TRX,tron,0.3246510547827277,0.322625,0.62720271,0.019999999999999987,4.052109565455428e-05
ADA,cardano,0.19861154923908383,0.195147,1.54859862,0.019999999999999987,6.92909847816769e-05
